Indice,ECG
638,49391
639,49927
640,50355
641,50906
642,51129
643,51337
644,51749
645,51804
646,52046
647,51653
648,51609
649,51752
650,51717
651,51218
652,51097
653,50773
654,50336
655,49894
656,49345
657,48700
658,47919
659,47204
660,45936
661,45132
662,44359
663,43046
664,42175
665,41811
666,40706
667,39164
668,38050
669,35945
670,34233
671,33047
672,31799
673,31488
674,29356
675,28100
676,27646
677,26645
678,25274
679,24617
680,23373
681,22456
682,22198
683,21486
684,20434
685,19821
686,19148
687,18662
688,18135
689,17707
690,17263
691,17111
692,16744
693,16682
694,16493
695,16081
696,16079
697,16572
698,16903
699,17110
700,17320
701,17729
702,18106
703,18304
704,19023
705,19446
706,20053
707,21040
708,21604
709,22310
710,23592
711,24407
712,25576
713,26547
714,27117
715,28673
716,29481
717,31377
718,32419
719,33417
720,34318
721,35530
722,36968
723,38931
724,39940
725,40398
726,41386
727,42464
728,43082
729,44216
730,44778
731,45813
732,46340
733,47481
734,48520
735,49012
736,49189
737,49800
738,50562
739,50807
740,51194
741,51370
742,51759
743,51626
744,51722
745,52044
746,51984
747,52239
748,51865
749,51834
750,51638
751,51328
752,51086
753,51337
754,50100
755,50087
756,49732
757,48821
758,48450
759,47766
760,46795
761,45861
762,44758
763,43902
764,43561
765,42687
766,41493
767,40227
768,38890
769,37662
770,36367
771,35349
772,34076
773,33023
774,31399
775,30109
776,28930
777,28001
778,27356
779,26017
780,24733
781,24051
782,23731
783,22923
784,22276
785,21467
786,20767
787,20280
788,19351
789,18957
790,18164
791,17743
792,17121
793,16954
794,16906
795,16523
796,16796
797,16236
798,16329
799,16430
800,16291
801,16623
802,16795
803,16850
804,17134
805,17647
806,17877
807,18161
808,18491
809,19283
810,19942
811,20431
812,21351
813,21831
814,22584
815,23451
816,24318
817,25211
818,25858
819,26675
820,27649
821,28740
822,30342
823,31142
824,32034
825,33186
826,34116
827,35275
828,36795
829,37915
830,39324
831,40486
832,41215
833,42009
834,42772
835,43374
836,44199
837,45366
838,46214
839,47481
840,48027
841,48413
842,48990
843,49513
844,50003
845,50727
846,51544
847,51211
848,51746
849,51770
850,51783
851,51830
852,52125
853,51944
854,51927
855,52091
856,51551
857,51543
858,51525
859,51132
860,50724
861,50631
862,49522
863,49131
864,48828
865,48256
866,47616
867,47125
868,46776
869,46015
870,45204
871,43491
872,42552
873,41737
874,40704
875,39176
876,38403
877,37021
878,35827
879,34805
880,32877
881,31212
882,30099
883,29184
884,28036
885,27082
886,26085
887,25256
888,24478
889,23609
890,22801
891,22130
892,21513
893,20890
894,20709
895,20252
896,19582
897,18965
898,18735
899,18165
900,17861
901,17434
902,17219
903,17003
904,17045
905,16917
906,16525
907,16709
908,16599
909,16050
910,16203
911,16321
912,16480
913,17064
914,17351
915,17445
916,17630
917,17749
918,18439
919,18767
920,19398
921,19844
922,20719
923,21238
924,21845
925,22839
926,23355
927,24366
928,25030
929,25701
930,26320
931,26999
932,27857
933,29638
934,31465
935,32265
936,33707
937,35331
938,36914
939,38162
940,38906
941,40572
942,42468
943,43664
944,44600
945,45230
946,45736
947,45934
948,47850
949,48322
950,48863
951,49426
952,49870
953,50380
954,50704
955,51350
956,51604
957,51970
958,51658
959,52075
960,52085
961,51686
962,51720
963,51340
964,51402
965,51317
966,50972
967,50126
968,50123
969,49224
970,49153
971,48234
972,47404
973,46756
974,46368
975,45894
976,44777
977,43454
978,42772
979,41789
980,41392
981,40307
982,38776
983,38042
984,37198
985,35374
986,34352
987,33059
988,32108
989,30877
990,29670
991,28768
992,27499
993,27311
994,26243
995,24789
996,24137
997,23366
998,22375
999,21880
1000,21063
1001,20183
1002,19617
1003,18550
1004,18236
1005,17687
1006,17446
1007,16993
1008,16867
1009,16853
1010,16772
1011,16467
1012,16171
1013,16488
1014,16268
1015,16456
1016,16554
1017,16721
1018,17063
1019,17034
1020,17495
1021,17917
1022,18100
1023,18518
1024,19396
1025,20264
1026,21040
1027,21284
1028,23189
1029,24027
1030,24910
1031,26067
1032,27516
1033,28588
1034,30616
1035,32051
1036,33172
1037,34982
1038,35880
1039,36555
1040,37622
1041,38929
1042,40612
1043,42036
1044,42920
1045,44286
1046,45055
1047,45719
1048,46576
1049,46955
1050,48134
1051,48628
1052,49025
1053,49236
1054,50100
1055,50707
1056,51030
1057,51231
1058,51506
1059,51781
1060,51997
1061,51932
1062,51941
1063,51756
1064,51939
1065,51315
1066,51554
1067,51250
1068,50701
1069,50327
1070,50038
1071,49638
1072,48712
1073,48307
1074,47687
1075,46924
1076,46290
1077,45438
1078,43947
1079,43001
1080,41663
1081,40675
1082,39634
1083,38139
1084,36998
1085,36779
1086,35264
1087,33573
1088,31879
1089,30866
1090,29547
1091,28540
1092,26495
1093,25683
1094,23971
1095,23227
1096,22484
1097,21727
1098,20831
1099,20116
1100,19664
1101,19297
1102,17982
1103,17727
1104,17419
1105,17150
1106,16806
1107,16830
1108,16450
1109,16416
1110,16158
1111,16271
1112,16505
1113,16371
1114,16565
1115,16672
1116,16897
1117,17975
1118,18528
1119,18909
1120,19719
1121,20911
1122,21684
1123,22776
1124,23984
1125,24797
1126,25649
1127,26292
1128,27958
1129,28945
1130,31480
1131,32418
1132,33796
1133,35545
1134,36661
1135,38424
1136,39692
1137,41486
1138,42205
1139,43375
1140,43701
1141,44538
1142,46160
1143,46877
1144,47593
1145,48317
1146,48800
1147,49815
1148,50632
1149,51064
1150,51190
1151,51302
1152,51527
1153,51800
1154,51495
1155,52037
1156,51879
1157,52328
1158,51936
1159,51457
1160,51617
1161,51209
1162,51123
1163,51147
1164,50911
1165,50071
1166,49788
1167,48963
1168,48738
1169,47762
1170,47422
1171,46519
1172,45897
1173,45340
1174,44764
1175,43008
1176,42148
1177,41216
1178,40315
1179,39244
1180,38726
1181,37658
1182,35811
1183,34736
1184,32910
1185,32076
1186,30800
1187,29594
1188,28558
1189,27527
1190,26289
1191,25235
1192,24859
1193,23603
1194,23044
1195,22065
1196,21150
1197,20570
1198,20130
1199,19633
1200,18840
1201,18082
1202,17457
1203,17207
1204,16477
1205,16804
1206,16541
1207,16290
1208,16129
1209,16487
1210,16609
1211,16653
1212,17002
1213,17291
1214,17630
1215,17969
1216,560
1217,19258
1218,20017
1219,20971
1220,21691
1221,22856
1222,23358
1223,24342
1224,25345
1225,25959
1226,26554
1227,27534
1228,28628
1229,30084
1230,32022
1231,33065
1232,34427
1233,34793
1234,36152
1235,37950
1236,38920
1237,40345
1238,42127
1239,42845
1240,44216
1241,45056
1242,46141
1243,46739
1244,47370
1245,48396
1246,49077
1247,49858
1248,50489
1249,50683
1250,50909
1251,51076
1252,51404
1253,51501
1254,51712
1255,51910
1256,52077
1257,51725
1258,51912
1259,51770
1260,51757
1261,51824
1262,51507
1263,51117
1264,50739
1265,50637
1266,50189
1267,49638
1268,49472
1269,48896
1270,47851
1271,47273
1272,46344
1273,46020
1274,45497
1275,43780
1276,43001
1277,42072
1278,40638
1279,39921
1280,38112
1281,36912
1282,35350
1283,33933
1284,33878
1285,32934
1286,31008
1287,30038
1288,29017
1289,27984
1290,26789
1291,26032
1292,25288
1293,24377
1294,23517
1295,22418
1296,21429
1297,20740
1298,19776
1299,19252
1300,18565
1301,17340
1302,17000
1303,16758
1304,16501
1305,16378
1306,16262
1307,16588
1308,16172
1309,16473
1310,16878
1311,16906
1312,17385
1313,17761
1314,17904
1315,18636
1316,18935
1317,19747
1318,20435
1319,21470
1320,23693
1321,24480
1322,25215
1323,25550
1324,27115
1325,28522
1326,28988
1327,30872
1328,31866
1329,33313
1330,34422
1331,35620
1332,36514
1333,38124
1334,39555
1335,40070
1336,41697
1337,42513
1338,43271
1339,44722
1340,45664
1341,45783
1342,46525
1343,47325
1344,48696
1345,48870
1346,49292
1347,49413
1348,50113
1349,50396
1350,51411
1351,51433
1352,51459
1353,51491
1354,51530
1355,52281
1356,51869
1357,51762
1358,51713
1359,51924
1360,51557
1361,51698
1362,51567
1363,51090
1364,50712
1365,50603
1366,50325
1367,50080
1368,49560
1369,48842
1370,48248
1371,47509
1372,47201
1373,46661
1374,46066
1375,44633
1376,43800
1377,43028
1378,42751
1379,41050
1380,40286
1381,39208
1382,38047
1383,36971
1384,35864
1385,34559
1386,32891
1387,31823
1388,29968
1389,28506
1390,27373
1391,26331
1392,25103
1393,24514
1394,23699
1395,22851
1396,21785
1397,20693
1398,20137
1399,19423
1400,19147
1401,18351
1402,18234
1403,17790
1404,17699
1405,17145
1406,16778
1407,16753
1408,16317
1409,16323
1410,16088
1411,16048
1412,16194
1413,16604
1414,16728
1415,16920
1416,16928
1417,17217
1418,17861
1419,17820
1420,18716
1421,19147
1422,19798
1423,20351
1424,20964
1425,21610
1426,22765
1427,23591
1428,24223
1429,25294
1430,26111
1431,27720
1432,28479
1433,29551
1434,30253
1435,31222
1436,32383
1437,33651
1438,34980
1439,36146
1440,37287
1441,39588
1442,40626
1443,41570
1444,41854
1445,43451
1446,44238
1447,45039
1448,47308
1449,48120
1450,48857
1451,49261
1452,49834
1453,50401
1454,51126
1455,50690
1456,51262
1457,51302
1458,51820
1459,51950
1460,51790
1461,52018
1462,52161
1463,51758
1464,51542
1465,51525
1466,51401
1467,51011
1468,51137
1469,51029
1470,50718
1471,49978
1472,49397
1473,49124
1474,48501
1475,47924
1476,47207
1477,46505
1478,45419
1479,44177
1480,42932
1481,42022
1482,41057
1483,39551
1484,38048
1485,36797
1486,36033
1487,34606
1488,32805
1489,31608
1490,30481
1491,29676
1492,28575
1493,27511
1494,26474
1495,25504
1496,24185
1497,23196
1498,22445
1499,21681
1500,20658
1501,20258
1502,19666
1503,18533
1504,17894
1505,17468
1506,17247
1507,17002
1508,16537
1509,16794
1510,16253
1511,16224
1512,16293
1513,16382
1514,16583
1515,16799
1516,16650
1517,17174
1518,17351
1519,17889
1520,18220
1521,18940
1522,19708
1523,20325
1524,20886
1525,21896
1526,22566
1527,23070
1528,24536
1529,25045
1530,26432
1531,27562
1532,28190
1533,29176
1534,30950
1535,31848
1536,33854
1537,34662
1538,36099
1539,37346
1540,38432
1541,39599
1542,41074
1543,42068
1544,43852
1545,44661
1546,45824
1547,46692
1548,47456
1549,48197
1550,49015
1551,49709
1552,50166
1553,50438
1554,50954
1555,50917
1556,51420
1557,51490
1558,51599
1559,51574
1560,51880
1561,51916
1562,51824
1563,51952
1564,51648
1565,51607
1566,51249
1567,51092
1568,50824
1569,50140
1570,49628
1571,49904
1572,49170
1573,48428
1574,47581
1575,46893
1576,45683
1577,45166
1578,43967
1579,42914
1580,41575
1581,40612
1582,40129
1583,39033
1584,37190
1585,36418
1586,35693
1587,34621
1588,32131
1589,31071
1590,29978
1591,28874
1592,27352
1593,26531
1594,25514
1595,24768
1596,23863
1597,23186
1598,21950
1599,21048
1600,20016
1601,19651
1602,18939
1603,18231
1604,17499
1605,17505
1606,17171
1607,16982
1608,16793
1609,16704
1610,16462
1611,16350
1612,16372
1613,16295
1614,16604
1615,17140
1616,17107
1617,17617
1618,17972
1619,18632
1620,19199
1621,21152
1622,21797
1623,22846
1624,23606
1625,25391
1626,26318
1627,27804
1628,28675
1629,29837
1630,31334
1631,32624
1632,33000
1633,34538
1634,36124
1635,38050
1636,39083
1637,40415
1638,43010
1639,43712
1640,44956
1641,46329
1642,46854
1643,47717
1644,48468
1645,48813
1646,49174
1647,49963
1648,49969
1649,50543
1650,50941
1651,51294
1652,51305
1653,51450
1654,51536
1655,51595
1656,52092
1657,52047
1658,51780
1659,51950
1660,51645
1661,51296
1662,51533
1663,51110
1664,51149
1665,50751
1666,50456
1667,49627
1668,49257
1669,48748
1670,48137
1671,47357
1672,47348
1673,46840
1674,46286
1675,45372
1676,44174
1677,43449
1678,42470
1679,42222
1680,41068
1681,40259
1682,38972
1683,37913
1684,36803
1685,33372
1686,32492
1687,31133
1688,29783
1689,28574
1690,27429
1691,26456
1692,25623
1693,24686
1694,24071
1695,23328
1696,22342
1697,21759
1698,20633
1699,20057
1700,19225
1701,18250
1702,18176
1703,17722
1704,17294
1705,17106
1706,16958
1707,16697
1708,16670
1709,16488
1710,15841
1711,16369
1712,16306
1713,16418
1714,16669
1715,16829
1716,17081
1717,17201
1718,17795
1719,17962
1720,18414
1721,18984
1722,19568
1723,19799
1724,20852
1725,21376
1726,22543
1727,23102
1728,23666
1729,24543
1730,25225
1731,27117
1732,28276
1733,28940
1734,30915
1735,31942
1736,33601
1737,34483
1738,35591
1739,36846
1740,37688
1741,38920
1742,40207
1743,42594
1744,43441
1745,44405
1746,45129
1747,45982
1748,46398
1749,47154
1750,48209
1751,49068
1752,49603
1753,49706
1754,50046
1755,50521
1756,50884
1757,51011
1758,51148
1759,51507
1760,51247
1761,51930
1762,51946
1763,51673
1764,52131
1765,51871
1766,51563
1767,51454
1768,51257
1769,51394
1770,50718
1771,50673
1772,50431
1773,49733
1774,48482
1775,48002
1776,47516
1777,46711
1778,46306
1779,45702
1780,45029
1781,44285
1782,43318
1783,42458
1784,39970
1785,39007
1786,36859
1787,35712
1788,34530
1789,33571
1790,30843
1791,29793
1792,28751
1793,27616
1794,26489
1795,25057
1796,23952
1797,22723
1798,21596
1799,20946
1800,20384
1801,19225
1802,18793
1803,18116
1804,17671
1805,17314
1806,16910
1807,16768
1808,16639
1809,16729
1810,16069
1811,16263
1812,16277
1813,16622
1814,16893
1815,16753
1816,17511
1817,17795
1818,18161
1819,18774
1820,19232
1821,19345
1822,20291
1823,20835
1824,21310
1825,22011
1826,23276
1827,24058
1828,24954
1829,25803
1830,27135
1831,28331
1832,30327
1833,33365
1834,34533
1835,35655
1836,36392
1837,37483
1838,38944
1839,40141
1840,42167
1841,42943
1842,44039
1843,45137
1844,45665
1845,46600
1846,47357
1847,48004
1848,48624
1849,49416
1850,49994
1851,49997
1852,50808
1853,50662
1854,50866
1855,51363
1856,51463
1857,51534
1858,51823
1859,51735
1860,51894
1861,52284
1862,52159
1863,51979
1864,51867
1865,51596
1866,51630
1867,51588
1868,51034
1869,51047
1870,50750
1871,49937
1872,49415
1873,48784
1874,48378
1875,47974
1876,46832
1877,46004
1878,45479
1879,44834
1880,44171
1881,43233
1882,42390
1883,40946
1884,37836
1885,36698
1886,35551
1887,33301
1888,32106
1889,30915
1890,28715
1891,27767
1892,26781
1893,24970
1894,23445
1895,22630
1896,21573
1897,20983
1898,20395
1899,19699
1900,19188
1901,18701
1902,17968
1903,17578
1904,17161
1905,17131
1906,16738
1907,16611
1908,16494
1909,16019
1910,15896
1911,16292
1912,16642
1913,16607
1914,16918
1915,16916
1916,17366
1917,17588
1918,17859
1919,18351
1920,560
1921,20476
1922,21096
1923,21929
1924,22597
1925,23369
1926,24094
1927,25449
1928,26896
1929,27673
1930,29372
1931,31066
1932,31999
1933,33391
1934,34037
1935,35230
1936,37023
1937,37870
1938,39547
1939,41327
1940,42260
1941,43446
1942,44458
1943,45661
1944,46321
1945,46864
1946,47568
1947,48457
1948,49008
1949,49529
1950,50110
1951,50745
1952,50584
1953,51056
1954,51448
1955,51477
1956,51657
1957,51772
1958,51726
1959,51774
1960,51720
1961,51747
1962,51849
1963,51604
1964,51507
1965,51315
1966,51266
1967,50792
1968,50385
1969,49865
1970,49814
1971,48952
1972,48652
1973,47732
1974,46971
1975,46698
1976,45297
1977,44533
1978,43618
1979,42848
1980,41504
1981,40664
1982,39923
1983,38842
1984,37790
1985,36207
1986,35345
1987,33729
1988,30985
1989,29930
1990,28831
1991,26782
1992,26087
1993,25066
1994,24176
1995,22939
1996,22096
1997,21267
1998,20012
1999,19406
2000,18551
2001,17999
2002,17736
2003,17237
2004,17162
2005,17159
2006,17005
2007,16861
2008,16535
2009,16293
2010,15841
2011,16291
2012,16074
2013,16303
2014,16732
2015,16865
2016,17081
2017,17172
2018,17635
2019,17852
2020,18615
2021,19152
2022,20307
2023,20694
2024,21682
2025,22537
2026,23477
2027,24117
2028,24884
2029,25845
2030,27277
2031,28185
2032,29122
2033,29948
2034,31059
2035,31286
2036,32803
2037,34592
2038,35839
2039,37604
2040,38393
2041,39783
2042,40879
2043,41772
2044,42601
2045,44007
2046,44917
2047,45306
2048,46251
2049,46860
2050,47606
2051,48410
2052,49279
2053,49341
2054,50018
2055,50706
2056,50810
2057,51177
2058,51619
2059,51319
2060,51580
2061,51573
2062,51704
2063,52121
2064,52237
2065,51927
2066,51872
2067,51586
2068,51469
2069,51436
2070,50760
2071,50736
2072,50081
2073,49947
2074,49399
2075,48897
2076,47833
2077,47399
2078,46381
2079,45695
2080,44361
2081,43880
2082,42886
2083,42057
2084,40902
2085,40019
2086,38675
2087,36969
2088,34767
2089,34185
2090,32944
2091,30903
2092,29509
2093,28319
2094,25882
2095,25032
2096,24135
2097,23419
2098,22674
2099,21525
2100,20996
2101,20016
2102,19231
2103,18702
2104,18365
2105,17998
2106,17512
2107,17209
2108,17191
2109,16685
2110,16765
2111,16308
2112,16283
2113,16095
2114,16158
2115,16310
2116,16521
2117,16870
2118,16820
2119,17164
2120,17557
2121,17515
2122,18293
2123,18828
2124,18963
2125,19672
2126,21475
2127,22216
2128,22972
2129,23746
2130,24473
2131,25436
2132,26360
2133,26626
2134,28308
2135,29208
2136,30496
2137,32330
2138,33454
2139,34949
2140,36335
2141,38144
2142,39496
2143,40742
2144,42207
2145,43157
2146,43469
2147,44453
2148,45962
2149,46660
2150,47468
2151,48174
2152,48567
2153,49104
2154,49428
2155,50175
2156,50594
2157,51075
2158,51374
2159,51036
2160,51416
2161,51468
2162,52159
2163,52043
2164,52181
2165,52385
2166,51785
2167,51792
2168,51747
2169,51123
2170,51352
2171,51073
2172,50518
2173,50080
2174,49557
2175,49109
2176,48569
2177,47686
2178,47038
2179,46039
2180,43690
2181,42782
2182,41902
2183,40711
2184,39499
2185,38408
2186,37259
2187,36023
2188,34427
2189,33518
2190,32599
2191,31485
2192,30364
2193,28784
2194,27941
2195,25351
2196,24517
2197,23859
2198,23108
2199,22277
2200,20898
2201,20396
2202,19723
2203,18909
2204,18255
2205,17835
2206,17408
2207,17123
2208,17027
2209,16840
2210,16834
2211,16279
2212,16417
2213,16250
2214,16180
2215,16385
2216,16499
2217,16824
2218,16499
2219,16716
2220,17240
2221,17424
2222,18180
2223,18149
2224,18919
2225,19258
2226,19845
2227,20873
2228,21582
2229,23057
2230,23514
2231,24523
2232,25999
2233,26845
2234,27151
2235,27863
2236,28896
2237,30474
2238,31741
2239,32858
2240,34098
2241,35380
2242,36563
2243,37772
2244,38746
2245,40919
2246,41588
2247,42370
2248,43199
2249,44108
2250,44896
2251,45831
2252,46795
2253,46945
2254,47975
2255,48399
2256,49028
2257,49872
2258,50484
2259,50634
2260,50597
2261,51150
2262,51648
2263,51490
2264,52257
2265,52051
2266,51944
2267,51999
2268,51521
2269,51399
2270,51276
2271,51238
2272,50874
2273,50524
2274,49910
2275,49908
2276,49101
2277,48433
2278,47855
2279,46990
2280,46135
2281,45719
2282,44615
2283,43621
2284,42210
2285,41675
2286,40462
2287,39373
2288,38351
2289,37391
2290,36875
2291,35607
2292,35320
2293,33812
2294,32088
2295,31197
2296,29950
2297,28337
2298,27079
2299,25933
2300,24691
2301,23316
2302,22759
2303,21673
2304,20955
2305,20052
2306,19672
2307,19282
2308,18540
2309,17811
2310,17828
2311,17320
2312,16992
2313,17156
2314,16974
2315,16559
2316,16239
2317,16113
2318,16115
2319,16620
2320,16635
2321,16701
2322,16806
2323,17085
2324,17282
2325,17616
2326,18004
2327,18254
2328,18740
2329,19569
2330,20212
2331,20526
2332,21291
2333,22243
2334,23366
2335,24002
2336,24934
2337,25311
2338,26231
2339,27557
2340,28976
2341,30289
2342,32283
2343,33085
2344,34667
2345,35589
2346,36954
2347,38161
2348,39180
2349,39530
2350,40862
2351,42745
2352,43357
2353,44470
2354,45275
2355,45540
2356,46321
2357,47296
2358,48228
2359,49131
2360,49495
2361,50157
2362,50885
2363,50890
2364,51261
2365,51484
2366,51710
2367,51596
2368,51871
2369,52013
2370,51827
2371,52134
2372,51573
2373,51554
2374,51516
2375,51234
2376,50852
2377,50756
2378,50250
2379,50540
2380,49820
2381,49043
2382,48890
2383,47415
2384,46170
2385,45316
2386,44480
2387,43704
2388,42922
2389,42053
2390,40458
2391,39838
2392,38452
2393,37289
2394,36400
2395,35088
2396,33899
2397,32621
2398,31743
2399,30060
2400,29002
2401,27912
2402,26537
2403,25599
2404,25262
2405,24187
2406,23206
2407,22031
2408,21454
2409,20595
2410,20475
2411,19699
2412,19085
2413,18320
2414,17823
2415,17394
2416,17486
2417,16986
2418,16783
2419,16670
2420,16446
2421,16501
2422,16235
2423,16568
2424,16343
2425,16993
2426,17021
2427,17040
2428,17252
2429,17496
2430,17839
2431,18693
2432,19230
2433,19878
2434,20747
2435,21433
2436,22362
2437,23753
2438,24925
2439,25592
2440,26696
2441,28355
2442,29852
2443,30978
2444,32512
2445,34667
2446,35685
2447,37469
2448,39041
2449,39690
2450,40748
2451,41674
2452,42565
2453,43923
2454,44601
2455,45719
2456,46798
2457,47672
2458,48461
2459,49031
2460,49701
2461,50250
2462,50634
2463,50895
2464,51264
2465,51564
2466,51538
2467,51585
2468,52285
2469,51876
2470,51735
2471,51795
2472,51734
2473,51778
2474,51349
2475,51298
2476,50733
2477,50557
2478,50349
2479,50220
2480,49636
2481,48414
2482,47941
2483,47446
2484,46431
2485,45227
2486,44784
2487,43907
2488,43398
2489,42443
2490,41752
2491,40085
2492,38512
2493,37598
2494,35672
2495,34705
2496,34203
