Event;ts_us;ch1_idx;ch2_idx
ON;1765480236807538;2971;3149
OFF;1765480236808392;2972;3150
ON;1765480237593441;3439;3637
OFF;1765480237605674;3441;3639
ON;1765480239516934;4420;4677
OFF;1765480239521499;4421;4678
ON;1765480240490063;5023;5323
OFF;1765480240490463;5024;5324
ON;1765480241493187;5540;5865
OFF;1765480241548662;5542;5867
ON;1765480243419310;6594;6982
OFF;1765480243420575;6595;6983
ON;1765480244391411;7098;7505
OFF;1765480244427408;7099;7506
