Time;SPI (1,2,3,4)
0,000045780; (0);
0,000048890; (1);
0,000051995; (2);
0,000120645; (49);
0,000123770; (127);
0,000126885; (135);
0,000195570; (49);
0,000198670; (139);
0,000201775; (69);
0,000270220; (49);
0,000273355; (122);
0,000276480; (155);
0,000345260; (49);
0,000348355; (122);
0,000351455; (152);
0,000419815; (49);
0,000422920; (121);
0,000426030; (115);
0,000494080; (49);
0,000497160; (107);
0,000500250; (80);
0,000568545; (49);
0,000571650; (111);
0,000574760; (30);
0,000642975; (49);
0,000646065; (110);
0,000649165; (23);
0,000717580; (49);
0,000720705; (125);
0,000723820; (174);
0,000792510; (49);
0,000795620; (149);
0,000798745; (159);
0,000867220; (49);
0,000870325; (175);
0,000873425; (216);
0,000941825; (49);
0,000944935; (164);
0,000948045; (239);
0,001016535; (49);
0,001019625; (151);
0,001022715; (233);
0,001090950; (49);
0,001094055; (170);
0,001097160; (85);
0,001165345; (49);
0,001168450; (149);
0,001171535; (188);
0,001239995; (49);
0,001243110; (135);
0,001246220; (52);
0,001314600; (49);
0,001317700; (141);
0,001320805; (39);
0,001389145; (49);
0,001392235; (139);
0,001395315; (221);
0,001463465; (0);
0,001466570; (1);
0,001469680; (2);
0,001538285; (49);
0,001541380; (156);
0,001544480; (5);
0,001612880; (49);
0,001615995; (161);
0,001619105; (46);
0,001687520; (49);
0,001690600; (101);
0,001693690; (7);
0,001761720; (0);
0,001764810; (1);
0,001767910; (2);
0,001835985; (49);
0,001839080; (123);
0,001842180; (136);
0,001910525; (49);
0,001913630; (116);
0,001916740; (130);
0,001984800; (49);
0,001987895; (104);
0,001990985; (196);
0,002059300; (49);
0,002062405; (105);
0,002065510; (133);
0,002134150; (49);
0,002137265; (121);
0,002140390; (221);
0,002209005; (49);
0,002212100; (124);
0,002215200; (205);
0,002283630; (49);
0,002286755; (131);
0,002289865; (55);
0,002358655; (0);
0,002361750; (1);
0,002364850; (2);
0,002433145; (49);
0,002436245; (74);
0,002439350; (188);
0,002507245; (49);
0,002510325; (67);
0,002513405; (71);
0,002581580; (49);
0,002584675; (104);
0,002587780; (139);
0,002655685; (49);
0,002658765; (143);
0,002661840; (177);
0,002730065; (49);
0,002733165; (141);
0,002736260; (19);
0,002804920; (49);
0,002808045; (138);
0,002811170; (96);
0,002879780; (49);
0,002882875; (124);
0,002885975; (147);
0,002954425; (49);
0,002957535; (118);
0,002960660; (115);
0,003029455; (49);
0,003032555; (152);
0,003035655; (19);
0,003103960; (49);
0,003107070; (144);
0,003110165; (3);
0,003178055; (49);
0,003181130; (136);
0,003184210; (55);
0,003252335; (49);
0,003255440; (135);
0,003258540; (74);
0,003326470; (49);
0,003329550; (122);
0,003332630; (219);
0,003400860; (49);
0,003403955; (125);
0,003407065; (10);
0,003475745; (49);
0,003478870; (128);
0,003481980; (5);
0,003550315; (0);
0,003553395; (1);
0,003556465; (2);
0,003624425; (49);
0,003627525; (137);
0,003630620; (175);
0,003699005; (49);
0,003702105; (136);
0,003705195; (26);
0,003773655; (49);
0,003776775; (134);
0,003779875; (255);
0,003848110; (49);
0,003851215; (135);
0,003854305; (180);
0,003922740; (49);
0,003925855; (130);
0,003928970; (230);
0,003997350; (49);
0,004000450; (128);
0,004003545; (77);
0,004071850; (49);
0,004074940; (100);
0,004078035; (17);
0,004146335; (49);
0,004149440; (115);
0,004152550; (80);
0,004221250; (49);
0,004224360; (109);
0,004227455; (93);
0,004295810; (49);
0,004298915; (98);
0,004302020; (177);
0,004370220; (49);
0,004373305; (78);
0,004376405; (170);
0,004444870; (49);
0,004447980; (89);
0,004451095; (93);
0,004519340; (0);
0,004522430; (1);
0,004525530; (2);
0,004594035; (49);
0,004597150; (95);
0,004600260; (200);
0,004668775; (49);
0,004671885; (114);
0,004674990; (76);
0,004743505; (49);
0,004746605; (111);
0,004749695; (219);
0,004817990; (49);
0,004821115; (105);
0,004824230; (20);
0,004892925; (49);
0,004896025; (130);
0,004899120; (130);
0,004967515; (49);
0,004970630; (156);
0,004973745; (212);
0,005042110; (49);
0,005045200; (149);
0,005048290; (157);
0,005116445; (49);
0,005119545; (144);
0,005122635; (109);
0,005190395; (49);
0,005193465; (132);
0,005196535; (128);
0,005264615; (49);
0,005267710; (120);
0,005270805; (18);
0,005339265; (49);
0,005342380; (105);
0,005345500; (201);
0,005414175; (49);
0,005417275; (115);
0,005420375; (185);
0,005488830; (49);
0,005491940; (139);
0,005495065; (157);
0,005563940; (0);
0,005567045; (1);
0,005570155; (2);
0,005638720; (49);
0,005641830; (147);
0,005644955; (180);
0,005713480; (49);
0,005716575; (146);
0,005719675; (94);
0,005787975; (49);
0,005791060; (145);
0,005794150; (132);
0,005862035; (49);
0,005865120; (137);
0,005868200; (122);
0,005936380; (49);
0,005939475; (135);
0,005942585; (136);
0,006011075; (49);
0,006014190; (155);
0,006017300; (249);
0,006085885; (49);
0,006088990; (162);
0,006092080; (128);
0,006160375; (49);
0,006163490; (165);
0,006166590; (44);
0,006235375; (49);
0,006238485; (148);
0,006241590; (65);
0,006310075; (49);
0,006313180; (174);
0,006316290; (14);
0,006384340; (49);
0,006387420; (172);
0,006390510; (252);
0,006458825; (49);
0,006461930; (159);
0,006465035; (71);
0,006533115; (49);
0,006536195; (154);
0,006539285; (223);
0,006607550; (0);
0,006610660; (1);
0,006613765; (2);
0,006682115; (49);
0,006685215; (121);
0,006688310; (104);
0,006756765; (49);
0,006759855; (123);
0,006762950; (139);
0,006831240; (49);
0,006834340; (152);
0,006837465; (57);
0,006906100; (49);
0,006909185; (155);
0,006912275; (17);
0,006980475; (49);
0,006983575; (156);
0,006986670; (94);
0,007054915; (49);
0,007058015; (172);
0,007061120; (163);
0,007129640; (49);
0,007132755; (173);
0,007135865; (248);
0,007204115; (49);
0,007207215; (176);
0,007210305; (45);
0,007278740; (49);
0,007281855; (162);
0,007284965; (37);
0,007353350; (49);
0,007356450; (139);
0,007359555; (250);
0,007427990; (49);
0,007431090; (147);
0,007434180; (170);
0,007502455; (0);
0,007505580; (1);
0,007508695; (2);
0,007577400; (49);
0,007580500; (142);
0,007583595; (241);
0,007651910; (49);
0,007655005; (140);
0,007658105; (49);
0,007726000; (49);
0,007729080; (133);
0,007732170; (35);
0,007800355; (49);
0,007803455; (140);
0,007806550; (77);
0,007874480; (49);
0,007877550; (150);
0,007880640; (229);
0,007948810; (49);
0,007951905; (179);
0,007955005; (187);
0,008023620; (49);
0,008026735; (169);
0,008029860; (3);
0,008098560; (49);
0,008101655; (156);
0,008104755; (72);
0,008173195; (49);
0,008176320; (142);
0,008179435; (113);
0,008248230; (49);
0,008251330; (145);
0,008254425; (211);
0,008322710; (49);
0,008325805; (140);
0,008328895; (110);
0,008396775; (49);
0,008399855; (136);
0,008402935; (145);
0,008471130; (0);
0,008474230; (1);
0,008477335; (2);
0,008545265; (49);
0,008548335; (142);
0,008551415; (5);
0,008619585; (49);
0,008622680; (135);
0,008625780; (119);
0,008694455; (49);
0,008697580; (143);
0,008700710; (101);
0,008769030; (49);
0,008772110; (175);
0,008775190; (140);
0,008843145; (49);
0,008846245; (134);
0,008849340; (16);
0,008917805; (49);
0,008920910; (109);
0,008924015; (211);
0,008992805; (49);
0,008995940; (102);
0,008999075; (19);
0,009067625; (49);
0,009070735; (136);
0,009073830; (148);
0,009142445; (49);
0,009145555; (136);
0,009148680; (12);
0,009217105; (49);
0,009220200; (131);
0,009223300; (165);
0,009291890; (49);
0,009295005; (159);
0,009298130; (153);
0,009367055; (49);
0,009370190; (153);
0,009373315; (53);
0,009441975; (0);
0,009445085; (1);
0,009448190; (2);
0,009516805; (49);
0,009519925; (121);
0,009523050; (71);
0,009592005; (49);
0,009595115; (132);
0,009598220; (92);
0,009666730; (49);
0,009669850; (140);
0,009672950; (18);
0,009741320; (49);
0,009744420; (127);
0,009747510; (4);
0,009815630; (49);
0,009818725; (143);
0,009821805; (84);
0,009889530; (49);
0,009892600; (139);
0,009895680; (1);
0,009963770; (49);
0,009966840; (134);
0,009969915; (227);
0,010037745; (0);
0,010040835; (1);
0,010043930; (2);
0,010112210; (49);
0,010115300; (125);
0,010118385; (240);
0,010186500; (49);
0,010189610; (139);
0,010192715; (1);
0,010261260; (49);
0,010264350; (137);
0,010267450; (62);
0,010335575; (49);
0,010338660; (158);
0,010341750; (97);
0,010409460; (49);
0,010412545; (117);
0,010415615; (4);
0,010483630; (49);
0,010486720; (119);
0,010489810; (193);
0,010558075; (49);
0,010561185; (122);
0,010564290; (40);
0,010632720; (49);
0,010635800; (124);
0,010638880; (191);
0,010707000; (49);
0,010710105; (147);
0,010713215; (137);
0,010781735; (49);
0,010784840; (195);
0,010787925; (254);
0,010856115; (49);
0,010859215; (193);
0,010862325; (48);
0,010930420; (49);
0,010933515; (151);
0,010936605; (59);
0,011004955; (49);
0,011008060; (155);
0,011011170; (16);
0,011079260; (49);
0,011082350; (144);
0,011085430; (27);
0,011153830; (49);
0,011156935; (142);
0,011160045; (126);
0,011228695; (49);
0,011231820; (118);
0,011234945; (124);
0,011303570; (49);
0,011306670; (97);
0,011309765; (254);
0,011378220; (49);
0,011381340; (106);
0,011384460; (135);
0,011453245; (49);
0,011456345; (101);
0,011459440; (203);
0,011527805; (0);
0,011530910; (1);
0,011534020; (2);
0,011602220; (49);
0,011605310; (126);
0,011608395; (120);
0,011676850; (49);
0,011679965; (151);
0,011683085; (152);
0,011751330; (49);
0,011754415; (146);
0,011757505; (143);
0,011826010; (49);
0,011829135; (150);
0,011832250; (177);
0,011900760; (49);
0,011903865; (145);
0,011906975; (51);
0,011975400; (49);
0,011978505; (148);
0,011981595; (236);
0,012049890; (49);
0,012053005; (164);
0,012056115; (179);
0,012124820; (49);
0,012127915; (116);
0,012131025; (197);
0,012199415; (49);
0,012202530; (95);
0,012205645; (56);
0,012274000; (49);
0,012277100; (109);
0,012280195; (90);
0,012348815; (49);
0,012351940; (108);
0,012355075; (158);
0,012423470; (49);
0,012426570; (108);
0,012429665; (133);
0,012498100; (0);
0,012501215; (1);
0,012504330; (2);
0,012572575; (49);
0,012575670; (140);
0,012578765; (172);
0,012647155; (49);
0,012650280; (108);
0,012653395; (145);
0,012722260; (49);
0,012725380; (148);
0,012728505; (47);
0,012796980; (49);
0,012800070; (166);
0,012803150; (221);
0,012871245; (49);
0,012874350; (176);
0,012877460; (115);
0,012945995; (49);
0,012949090; (149);
0,012952200; (199);
0,013020805; (49);
0,013023940; (169);
0,013027055; (77);
0,013095440; (49);
0,013098540; (136);
0,013101645; (46);
0,013170230; (49);
0,013173355; (137);
0,013176470; (101);
0,013244865; (49);
0,013247965; (146);
